170.0000167	39	NAN	
170.2500167	39	NAN	
170.5000167	39	NAN	
170.7500167	39	NAN	
171.0000167	39	NAN	
171.2500167	39	NAN	
171.5000167	39	NAN	
171.7500167	39	NAN	
172.0000167	39	NAN	
172.2500167	39	NAN	
172.5000167	39	NAN	
172.7500167	39	NAN	
173.0000167	39	NAN	
173.2500167	39	NAN	
173.5000167	39	NAN	
173.7500167	39	NAN	
174.0000167	39	NAN	
174.2500167	39	NAN	
174.5000167	39	NAN	
174.7500167	39	NAN	
175.0000167	39	NAN	
175.2500167	39	NAN	
175.5000167	39	NAN	
175.7500167	39	NAN	
176.0000167	39	NAN	
176.2500167	39	NAN	
176.5000167	39	NAN	
176.7500167	39	NAN	
177.0000167	39	NAN	
177.2500167	39	NAN	
177.5000167	39	NAN	
177.7500167	39	NAN	
178.0000167	39	NAN	
178.2500167	39	NAN	
178.5000167	39	NAN	
178.7500167	39	NAN	
179.0000167	39	NAN	
179.2500167	39	NAN	
179.5000167	39	NAN	
179.7500167	39	NAN	
180.0000167	39	NAN	
180.2500167	39	NAN	
180.5000167	39	NAN	
180.7500167	39	NAN	
181.0000167	39	NAN	
181.2500167	39	NAN	
181.5000167	39	NAN	
181.7500167	39	NAN	
182.0000167	39	NAN	
182.2500167	39	NAN	
182.5000167	39	NAN	
182.7500167	39	NAN	
183.0000167	39	NAN	
183.2500167	39	NAN	
183.5000167	39	NAN	
183.7500167	39	NAN	
184.0000167	39	NAN	
184.2500167	39	NAN	
184.5000167	39	NAN	
184.7500167	39	NAN	
185.0000167	39	NAN	
185.2500167	39	NAN	
185.5000167	39	NAN	
185.7500167	39	NAN	
186.0000167	39	NAN	
186.2500167	39	NAN	
186.5000167	39	NAN	
186.7500167	39	NAN	
187.0000167	39	NAN	
187.2500167	39	NAN	
187.5000167	39	NAN	
187.7500167	39	NAN	
188.0000167	39	NAN	
188.2500167	39	NAN	
188.5000167	39	NAN	
188.7500167	39	NAN	
189.0000167	39	NAN	
189.2500167	39	NAN	
189.5000167	39	NAN	
189.7500167	39	NAN	
190.0000167	39	NAN	
190.2500167	39	NAN	
190.5000167	39	NAN	
190.7500167	39	NAN	
191.0000167	39	NAN	
191.2500167	39	NAN	
191.5000167	39	NAN	
191.7500167	39	NAN	
192.0000167	39	NAN	
192.2500167	39	NAN	
192.5000167	39	NAN	
192.7500167	39	NAN	
193.0000167	39	NAN	
193.2500167	39	NAN	
193.5000167	39	NAN	
193.7500167	39	NAN	
194.0000167	39	NAN	
194.2500167	39	NAN	
194.5000167	39	NAN	
194.7500167	39	NAN	
195.0000167	39	NAN	
195.2500167	39	NAN	
195.5000167	39	NAN	
195.7500167	39	NAN	
196.0000167	39	NAN	
196.2500167	39	NAN	
196.5000167	39	NAN	
196.7500167	39	NAN	
197.0000167	39	NAN	
197.2500167	39	NAN	
197.5000167	39	NAN	
197.7500167	39	NAN	
198.0000167	39	NAN	
198.2500167	39	NAN	
198.5000167	39	NAN	
198.7500167	39	NAN	
199.0000167	39	NAN	
199.2500167	39	NAN	
199.5000167	39	NAN	
199.7500167	39	NAN	
200.0000167	39	NAN	
200.2500167	39	NAN	
200.5000167	39	NAN	
200.7500167	39	NAN	
201.0000167	39	NAN	
201.2500167	39	NAN	
201.5000167	39	NAN	
201.7500167	39	NAN	
202.0000167	39	NAN	
202.2500167	39	NAN	
202.5000167	39	NAN	
202.7500167	39	NAN	
203.0000167	39	NAN	
203.2500167	39	NAN	
203.5000167	39	NAN	
203.7500167	39	NAN	
204.0000167	39	NAN	
204.2500167	39	NAN	
204.5000167	39	NAN	
204.7500167	39	NAN	
205.0000167	39	NAN	
205.2500167	39	NAN	
205.5000167	39	NAN	
205.7500167	39	NAN	
206.0000167	39	NAN	
206.2500167	39	NAN	
206.5000167	39	NAN	
206.7500167	39	NAN	
207.0000167	39	NAN	
207.2500167	39	NAN	
207.5000167	39	NAN	
207.7500167	39	NAN	
208.0000167	39	NAN	
208.2500167	39	NAN	
208.5000167	39	NAN	
208.7500167	39	NAN	
209.0000167	39	NAN	
209.2500167	39	NAN	
209.5000167	39	NAN	
209.7500167	39	NAN	
210.0000167	39	NAN	
210.2500167	39	NAN	
210.5000167	39	NAN	
210.7500167	39	NAN	
211.0000167	39	NAN	
211.2500167	39	NAN	
211.5000167	39	NAN	
